square_feet,bathrooms,bedrooms,state,pets_allowed,fee,has_photo
1350.0,1.0,3.0,MI,"Cats,Dogs",No,Thumbnail
900.0,1.0,2.0,LA,"Cats,Dogs",No,Yes
781.0,1.0,1.0,MA,"Cats,Dogs",No,Thumbnail
738.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1068.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
1134.0,2.0,2.0,NV,"Cats,Dogs",No,No
645.0,1.0,1.0,AZ,"Cats,Dogs",No,Yes
941.0,2.0,2.0,NE,Cats,No,Thumbnail
968.0,1.0,2.0,TX,"Cats,Dogs",No,Yes
1052.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
1655.0,2.0,3.0,FL,"Cats,Dogs",No,Yes
654.0,1.0,3.0,FL,"Cats,Dogs",No,Yes
1184.0,2.0,2.0,FL,"Cats,Dogs",No,Yes
1471.0,2.0,2.0,VA,"Cats,Dogs",No,Yes
1200.0,2.5,2.0,AR,"Cats,Dogs",No,Thumbnail
705.0,1.0,1.0,MO,"Cats,Dogs",No,Yes
761.0,1.0,1.0,WI,Cats,No,Thumbnail
937.0,1.0,2.0,CO,"Cats,Dogs",No,No
1048.0,2.0,2.0,OH,"Cats,Dogs",No,No
1523.0,2.0,3.0,AR,"Cats,Dogs",No,Yes
928.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
725.0,1.0,1.0,OH,"Cats,Dogs",No,No
750.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1130.0,2.0,2.0,MD,"Cats,Dogs",No,Yes
1100.0,2.0,2.0,NJ,"Cats,Dogs",No,Yes
900.0,1.0,2.0,CO,"Cats,Dogs",No,Yes
575.0,1.0,2.0,AL,"Cats,Dogs",No,Yes
1138.0,2.0,2.0,NC,"Cats,Dogs",No,Thumbnail
1098.0,2.5,2.0,NC,"Cats,Dogs",No,Thumbnail
772.0,1.0,1.0,NY,"Cats,Dogs",No,Yes
682.0,1.0,1.0,MO,"Cats,Dogs",No,Yes
931.0,2.0,2.0,TX,"Cats,Dogs",No,Yes
864.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
1078.0,2.0,2.0,NC,"Cats,Dogs",No,Yes
615.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail
1575.0,2.0,3.0,GA,"Cats,Dogs",No,Yes
1000.0,2.0,2.0,LA,"Cats,Dogs",No,Thumbnail
899.0,1.0,2.0,MD,"Cats,Dogs",No,Yes
1000.0,2.0,2.0,FL,"Cats,Dogs",No,Thumbnail
789.0,1.0,1.0,TX,"Cats,Dogs",No,Yes
705.0,1.0,1.0,WI,"Cats,Dogs",No,Yes
650.0,1.0,1.0,IL,Cats,No,Yes
896.0,1.0,2.0,OH,"Cats,Dogs",No,Yes
2300.0,2.5,4.0,NC,"Cats,Dogs",No,Yes
425.0,1.0,0.0,CA,"Cats,Dogs",No,Thumbnail
844.0,1.0,1.0,PA,Cats,No,Yes
