price,square_feet,bathrooms,bedrooms,state,pets_allowed,fee,has_photo,state_median_price,high_price
2195.0,542.0,1.0,1.0,CA,Cats,No,Thumbnail,2195.0,0
1250.0,1500.0,1.5,3.0,VA,"Cats,Dogs",No,Thumbnail,1420.0,0
1600.0,820.0,1.0,2.0,CA,"Cats,Dogs",No,Thumbnail,2195.0,0
975.0,624.0,1.0,1.0,NM,"Cats,Dogs",No,Thumbnail,1012.5,0
1250.0,965.0,1.5,2.0,NM,"Cats,Dogs",No,Thumbnail,1012.5,1
1300.0,947.0,2.0,2.0,CO,"Cats,Dogs",No,Thumbnail,1462.0,0
795.0,600.0,1.0,2.0,WV,Dogs,No,Thumbnail,795.0,0
2000.0,872.0,1.5,2.0,WA,"Cats,Dogs",No,Thumbnail,1704.5,1
729.0,800.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail,1149.0,0
1045.0,700.0,1.0,1.0,IL,"Cats,Dogs",No,Thumbnail,1446.0,0
1800.0,1500.0,3.0,3.0,MS,"Cats,Dogs",No,Thumbnail,884.0,1
1250.0,435.0,1.0,2.0,OR,"Cats,Dogs",No,Thumbnail,1299.0,0
1099.0,290.0,1.0,0.0,OR,"Cats,Dogs",No,Thumbnail,1299.0,0
3250.0,1525.0,2.5,3.0,CA,"Cats,Dogs",No,Thumbnail,2195.0,1
1740.0,1600.0,2.0,2.0,FL,"Cats,Dogs",No,Thumbnail,1350.0,1
1590.0,1000.0,2.0,2.0,MO,"Cats,Dogs",No,Thumbnail,950.0,1
975.0,615.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail,1149.0,0
895.0,430.0,1.0,0.0,PA,"Cats,Dogs",No,Thumbnail,1246.0,0
1695.0,1550.0,2.5,3.0,IA,"Cats,Dogs",No,Thumbnail,847.5,1
975.0,650.0,1.0,1.0,TX,"Cats,Dogs",No,Thumbnail,1149.0,0
4950.0,1200.0,1.5,2.0,CA,"Cats,Dogs",No,Thumbnail,2195.0,1
1025.0,616.0,1.0,1.0,WI,"Cats,Dogs",No,Thumbnail,1150.0,0
2548.0,1391.0,2.0,2.0,CA,"Cats,Dogs",No,Thumbnail,2195.0,1
1299.0,1119.0,2.0,3.0,NC,"Cats,Dogs",No,Thumbnail,1126.5,1
1549.0,431.0,1.0,2.0,VA,"Cats,Dogs",No,Thumbnail,1420.0,1
1905.0,900.0,1.0,2.0,VA,"Cats,Dogs",No,Thumbnail,1420.0,1
1199.0,1273.0,2.0,3.0,GA,"Cats,Dogs",No,Thumbnail,1287.0,0
3580.0,2100.0,2.0,4.0,IL,Cats,No,Thumbnail,1446.0,1
495.0,360.0,1.0,1.0,OK,"Cats,Dogs",No,Thumbnail,909.0,0
973.0,509.0,1.0,1.0,FL,"Cats,Dogs",No,Thumbnail,1350.0,0
2095.0,390.0,1.0,2.0,RI,"Cats,Dogs",No,Thumbnail,1686.5,1
750.0,568.0,1.0,1.0,WA,"Cats,Dogs",No,Thumbnail,1704.5,0
1475.0,663.0,1.0,1.0,NJ,"Cats,Dogs",No,Thumbnail,1995.0,0
1650.0,1100.0,2.0,4.0,IL,"Cats,Dogs",No,Thumbnail,1446.0,1
1200.0,840.0,1.0,1.0,IN,"Cats,Dogs",No,Thumbnail,807.5,1
1385.0,572.0,1.0,2.0,CA,"Cats,Dogs",No,Thumbnail,2195.0,0
1007.0,735.0,1.0,1.0,MO,"Cats,Dogs",No,Thumbnail,950.0,1
1499.0,1544.0,2.0,3.0,FL,"Cats,Dogs",No,Thumbnail,1350.0,1
